User,Copilot user,Date,Repository,Insertions,Deletions,Total lines,Files changed,Unit size (DMM),Complexity (DMM),Interface (DMM),Commits,Commit hash,Copilot period,Merge commit,Default branch,Org,Diff lines
User 11,True,2024-01-04,Repo 009,1,1,2,1,,,,1,Commit 182,after,False,True,navikt,0
User 11,True,2024-01-04,Repo 009,10,10,20,1,,,,1,Commit 183,after,False,True,navikt,0
User 11,True,2024-01-04,Repo 009,1,57,58,9,,,,1,Commit 184,after,False,True,navikt,-56
User 11,True,2024-01-04,Repo 009,17,1,18,1,,,,1,Commit 185,after,False,True,navikt,16
User 11,True,2024-01-11,Repo 009,16,11,27,5,,,,1,Commit 186,after,False,True,navikt,5
User 11,True,2024-01-12,Repo 009,2,1,3,1,,,,1,Commit 187,after,False,True,navikt,1
User 11,True,2024-01-13,Repo 009,67,378,445,35,0.0165289256198347,0.0,0.3471074380165289,1,Commit 188,after,False,True,navikt,-311
User 11,True,2024-01-16,Repo 009,1,2,3,1,,,,1,Commit 189,after,False,True,navikt,-1
User 11,True,2024-01-19,Repo 009,33,34,67,5,,,,1,Commit 190,after,False,True,navikt,-1
User 04,True,2024-01-19,Repo 009,18,4,22,1,,,,1,Commit 191,after,False,True,navikt,14
User 11,True,2024-01-22,Repo 009,69,57,126,15,1.0,1.0,1.0,1,Commit 192,after,False,True,navikt,12
User 11,True,2024-02-01,Repo 009,5,6,11,2,,,,1,Commit 193,after,False,True,navikt,-1
User 11,True,2024-02-05,Repo 009,27,25,52,3,0.0,0.0,0.0,1,Commit 194,after,False,True,navikt,2
User 11,True,2024-03-05,Repo 009,28,5,33,3,1.0,1.0,1.0,1,Commit 195,after,False,True,navikt,23
User 11,True,2024-03-27,Repo 009,6,1,7,1,,,,1,Commit 196,after,False,True,navikt,5
User 11,True,2024-03-29,Repo 009,4,1,5,1,,,,1,Commit 197,after,False,True,navikt,3
User 11,True,2024-03-29,Repo 009,2,2,4,1,,,,1,Commit 198,after,False,True,navikt,0
User 11,True,2024-03-29,Repo 009,335,419,754,101,,,,1,Commit 199,after,False,True,navikt,-84
